stage,project,developer,island,mw,mwh,rfp_issued,award_date,ppa_exec,puc_approval,target_cod,actual_cod_or_cancel,status,delay_months,cause,docket,source,verified
Stage 2,Waena BESS (self-build),Hawaiian Electric,Maui,40,160,2019-08-22,2020-05-08,2020,PPA sub 2020-0132,2027,2027 (target),approved,,HECO utility-owned self-build storage,2020-0132,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-status
Stage 2,Kahana Solar,Innergex,Maui,20,80,2019-08-22,2020-05-08,2020,PPA approved (WMPA settlement),2022,2022-12-30,cancelled,,WMPA intervened -> $1.375M CBA settlement Oct 2021 -> withdrawn for pricing/supply-chain,2017-0352,https://www.mauinews.com/news/local-news/2023/04/more-energy-projects-needed-to-replace-retiring-power-sources/,verified
Stage 2,Kamaole Solar,Potentia/Pacific Green Ikehu,Maui,40,160,2019-08-22,2020-05-08,2020,,2022,2023-03,cancelled,,Pricing/supply-chain; one of 4 cancelled Maui solar projects,2017-0352,https://www.staradvertiser.com/2023/11/29/hawaii-news/nixed-solar-farm-projects-on-maui-raising-concerns/,verified-fact;approx-date
Stage 2,Pulehu Solar,Longroad,Maui,40,160,2019-08-22,2020-05-08,2020,,2022,2022-05-04,cancelled (re-procured Stage 3),,Supply-chain/inflation; re-bid into Stage 3,2017-0352,https://www.civilbeat.org/2022/05/a-major-solar-farm-developer-is-pulling-out-of-maui-and-oahu-projects/,verified
Stage 2,Keahole BESS (self-build),Hawaiian Electric,Hawaii,12,12,2019-08-22,2020-05-08,2020,PPA sub 2020-0127,,under PUC review,pending,,HECO utility-owned self-build storage,2020-0127,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-status
Stage 2,Puako Solar (ENGIE),ENGIE,Hawaii,60,240,2019-08-22,2020-05-08,2020,,2022,2021-11,cancelled,,Abandoned citing HIGH INTERCONNECTION COSTS + supply-chain + tariff disputes,2017-0352,https://www.utilitydive.com/news/engie-abandons-hawaii-solar-storage-project-supply-chain-tariff-con/609361/,verified
Stage 2,Waikoloa Village Solar,EDF Renewables,Hawaii,60,240,2019-08-22,2020-05-08,2020,,2022,~2023-12,cancelled,,Supply-chain/cost,2017-0352,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-fact;approx-date
Stage 3,Mahi Solar and Storage,Longroad,Oahu,120,480,2023-01-20,2023-12-01,2025-11,PPA signed Nov 2025,2028,2028 (target),PPA signed,,Re-procurement of the cancelled Stage-2 Mahi,2017-0352,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-status
Stage 3,Makana La Solar,Clearway,Oahu,80,480,2023-01-20,2023-12-01,,,2027,2024-10-29,cancelled,,Clearway ended negotiations citing HECO financial distress/below-investment-grade credit after Aug-2023 Maui wildfires; 1 of Clearway's 3 (195 MW total),2017-0352,https://www.hawaiipublicradio.org/local-news/2024-11-04/solar-developer-pulls-out-of-major-projects-citing-hecos-financial-distress,verified
Stage 3,Puuloa Solar,Ameresco,Oahu,6,30,2023-01-20,2023-12-01,2025-2026,PPA PUC-approved ~2026-06,2027,2027 (target),PPA approved,,,2017-0352,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-status
Stage 3,Waiau Repower (self-build),Hawaiian Electric,Oahu,253,0,2023-01-20,2023-12-01,,,2033,2033 (target),in negotiation,,HECO utility-owned self-build biofuel combustion turbine; largest single Oahu Stage-3 award,2017-0352,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-status
Stage 3,Kuihelani Phase 2 Solar,AES,Maui,40,160,2023-01-20,2023-12-01,2025-2026,PPA PUC-approved ~2026-06,2028,2028 (target),PPA approved,,,2017-0352,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-status
Stage 3,Puu Hao Solar,AES,Maui,20,80,2023-01-20,2023-12-01,,,2027,~2024-05,cancelled,,Withdrawn ~May 2024 (interconnection/land) - UNVERIFIED cause detail,2017-0352,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-fact;unverified-cause
Stage 3,Pulehu Solar and Storage,Longroad,Maui,20,80,2023-01-20,2023-12-01,,,2027,2027 (target),in negotiation,,Re-procurement of cancelled Stage-2 Pulehu (downsized 40->20 MW),2017-0352,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-status
Stage 3,Keamuku Solar,AES,Hawaii,86,344,2022-11-21,2023-12-01,,,2030,2030 (target),in negotiation,,,2017-0352,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-status
Stage 3,Puako Solar (Clearway),Clearway,Hawaii,60,240,2022-11-21,2023-12-01,,,2028,2024-10-29,cancelled,,Part of Clearway's 3-project (195 MW) Oct-2024 withdrawal citing HECO credit; NOT the same as ENGIE's 2021 Puako,2017-0352,https://www.hawaiipublicradio.org/local-news/2024-11-04/solar-developer-pulls-out-of-major-projects-citing-hecos-financial-distress,verified
Stage 3,Kaiwiki Solar,Clearway,Hawaii,55,220,2022-11-21,2023-12-01,,,2028,2024-10-29,cancelled,,Part of Clearway's 3-project (195 MW) Oct-2024 withdrawal citing HECO credit,2017-0352,https://www.hawaiipublicradio.org/local-news/2024-11-04/solar-developer-pulls-out-of-major-projects-citing-hecos-financial-distress,verified
pre-RFP,Kawailoa Solar (orig.),First Wind/SunEdison,Oahu,49,,pre-RFP FIT/RFP,,pre-2016,,2016-2017,2016-02 (terminated),cancelled (revived by Clearway),,HECO terminated PPA ~2016-02 for missed construction-financing milestone; PUC staff called termination premature; later revived+built,pre-RFP,https://www.environment-hawaii.org/?p=9006,verified
pre-RFP,Waiawa PV (orig.),First Wind/SunEdison,Oahu,47,,pre-RFP FIT/RFP,,pre-2016,,2016-2017,2016-02 (terminated),cancelled (revived by Clearway),,Part of 3-farm 2016 termination (112 MW combined); SunEdison had sunk >$42M site + $31.4M interconnection,pre-RFP,https://www.environment-hawaii.org/?p=9006,verified
pre-RFP,Lanikuhana Solar (orig.),First Wind/SunEdison,Oahu,15,,pre-RFP FIT/RFP,,pre-2016,,2016-2017,2016-02 (terminated),cancelled (revived by Clearway),,Part of 3-farm 2016 termination; often mislabeled 'Mililani',pre-RFP,https://www.environment-hawaii.org/?p=9006,verified-fact;name-corrected
